1,2
barley,grass
woman,fisherman
animal,river
bear,animal
dancer,ballerina
hallway,room
girl,kid
city,forest
tiger,tiger
building,architecture
lights,building
woman,woman
Jellybeans,bean
primate,chimpanzee
Tiger,tiger
bear,bear
band,soldier
unknown,grass
people,man
lions,animal
creek,river
creek,river
fox,fox
pumpkins,pumpkin
deer,antelope
vegetable,vegetable
umbrellas,umbrellas
boats,boats
city,architecture
women,women
giraffe,giraffe
monkey,chimpanzee
mountains,mountain
dogs,dogs
woman,woman
theater,crowd
porcupine,porcupine
penguin,penguins
tiger,tiger
corn,corns
monkey,chimpanzee
room,livingroom
house,house
garden,yard
trees,trees
mountains,mountains
deer,deer
food,food
cars,cars
trees,road
building,entrance
trees,trees
snake,snake
cliff,cliff
hippo,Sealion
kitchen,kitchen
bear,bear
potatoes,grapes
dog,sheep
monkey,monkey
porcupine,porcupine
woman,woman
monkey,primate
monkey,monkey
zucchini,vegetable
rocks,sand dollar
frog,toad
boats,people
flowers,
cheetahs,cheetahs
gecko,Iguana
texture,
food,
trees,trees
boy,kid
apples,cherries
pond,lake
frog,frog
hill,ruins
monkey,primate
monkey,animal
flowers,cacti
potatoes,produce
tiles,tiles
food,vegetable
horses,Carriage
deer,animal
man,man
food,food
fountain,fountain
gecko,reptile
monkey,primate
airplane,airplane
apples,fruits
room,window
ceiling,boat
fish,fish
knifes,bottles
room,hall
trees,
cliff,shore
ginger,ginger
leaf,leaf
stairs,stairs
pillars,ruins
flame,textile
turtle,turtle
dog,animal
monkey,primate
rocks,beans
monkey,monkey
lizard,lizard
tree,tree
flower,ladybugs
bird,bird
deer,deer
buildings,buildings
monkey,animal
food,food
ice,glacier
lizard,reptiles
fish,fish
cheetahs,cheetahs
trees,
gorilla,primate
pills,
boy,kid
trees,plain
lake,water
man,sculpture
monkey,monkey
mountains,mountains
footsteps,beach
woman,woman
room,fireplace
clouds,sky
animal,
man,man
zebras,zebras
bird,bird
texture,rock
table,diningroom
texture,rock
trees,trees
boy,girl
zebra,zebra
fish,fish
pyramid,pyramid
animal,monkey
izards,lizard
men,crowd
waterfall,waterfall
train,train
tiger,tiger
leaf,leaf
grapes,grapes
potatoes,fruits
car,car
building,building
women,people
drums,cups
ram,gazelle
frog,toad
boats,boat
fox,wolf
trees,trees
table,pool
fish,
strawberry,strawberry
man,soldier
cows,animal
seeds,beans
window,window
beach,beach
men,people
potatoes,vegetable
men,people
airplane,airplane
horses,horses
mask,mask
building,apartment
room,room
zebra,zebra
woman,woman
room,room
building,roof
paper,letter
monkey,monkeys
water,ocean
water,lake
lion,lion
dancers,dance
apples,fruit
clouds,cloud
mountains,mountains
trees,trees
windmills,windmill
women,women
monkey,animal
room,hall
fish,fish
room,
apples,cherries
table,office
fruits,fruits
room,livingroom
monkeys,monkeys
snow,person
coral,coral
chipmunk,squirrel
water,water
cheetahs,animal
man,man
train,train
woman,woman
cliff,water
airplanes,windmill
elephants,elephants
cow,cow
bear,bear
people,family
cliff,water
leafs,leaves
onions,garlic
mountains,mountains
potatoes,man
duck,bird
dresses,girl
goats,cattle
gecko,animal
beach,pool
boar,boat
bear,bear
lizard,iguana
stag,deer
ducklings,birds
fruits,fruits
people,people
building,building
monkey,animal
road,trail
water,water
turtle,turtle
hands,hands
bridge,bridge
tree,tree
monkey,animal
apples,fruits
woman,woman
room,room
room,livingroom
pillars,pillars
leaves,branch
food,market
people,man
goats,animals
trees,moon
food,vegetables
pumpkins,pumpkins
dog,fur
texture,
bear,bear
trees,trees
strawberry,strawberry
threads,reel
snake,snake
butterfly,butterfly
monkey,primate
monkey,primate
building,cathedral
people,women
beach,couple
bridge,bridge
bear,bear
festival,Ferris wheel
children,girls
tiger,tiger
rock,
rocks,seeds
texture,cabbage
mountain,plain
horses,horses
bird,bird
woman,woman
building,street
boats,boats
cows,cattle
airplane,airplane
man,man
butterfly,butterfly
people,crowd
man,president
road,road
building,alley
house,house
cat,cat
gecko,reptile
people,man
window,bars
road,road
woman,woman
man,man
clown,clown
truck,truck
flowers,plants
fish,shark
bird,bird
water,ship
cliff,trees
building,building
circles,sea creature
gecko,reptile
rocks,terrain
people,family
horse,horse
women,women
water,port
building,tower
room,room
tree,tree
cheetah,cat
texture,
building,architecture
trees,plain
gecko,lizard
fish,fish
dolphin,dolphin
pillars,pillars
man,art
elephants,elephants
pillars,pillars
people,women
ice,animal
water,waterfall
bird,bird
building,people
water,animal
trees,creek
macaroni,pasta
balls,golf ball
fish,animal
beaver,otter
cliff,house
window,window
turtle,turtle
texture,
boat,boat
rock,woman
horse,horse
gorilla,primate
bench,person
pillars,temple
room,living room
cars,cars
bear,bear
circle,decoration
water,lake
bear,cub
monkey,primate
trees,moon
food,celery
leafs,leaves
rocks,
rocks,stones
gorilla,primate
woman,woman
snake,snake
cheetah,cheetah
man,man
woman,woman
peppers,bell peppers
turtles,shore
monkey,jaguar
woman,woman
monkey,monkey
bikers,bicycle
tiger,tiger
water,river
fruits,fruits
mountains,mountains
ducks,bird
buildings,buildings
trees,trees
man,people
cycle,biker
tram,train
monkey,monkey
bridge,bridge
pillar,pillar
apples,apples
snake,snake
bird,snake
mountain,houses
eggs,apples
bird,bird
window,window
dog,monkey
hay,hay
palace,fountain
room,room
boat,building
spices,food
hall,room
tiger,tiger
cat,cheetah
marbles,rocks
pebbles,pebbles
monkey,monkey
bird,person
food,food
tree,tree
cougar,cat
crane,stairs
aligator,alligator
river,water
fruits,trees
tree,trees
monkey,monkey
man,man
monk,people
snake,snake
man,man
cave,door
airplane,airplane
tiger,tiger
waterfall,waterfall
worker,men
grassland,sun
lemur,lemur
boy,man
room,room
monument,people
land,cliff
tree,trees
pasta,spaghetti
chimpanzee,monkey
cheerleaders,cheerleaders
deer,deer
skunk,monkey
snake,snake
mountain,mountain
snake,snake
city,buildings
snake,snake
rock,texture
deer,deer
lake,water
water,water
palace,building
trees,trees
gymnast,woman
monkey,monkey
trees,trees
fruit,kiwi
rocks,rocks
lake,water
woman,dancers
monkey,monkey
lizard,gecko
fox,wolf
gorilla,gorilla
monk,man
tunnel,person
hall,building
sundial,circle
rock,rock
cave,building
deer,deer
lizard,gecko
deer,deer
popcorn,flowers
man,people
riverside,water
athens,pillars
wolf,animal
man,man
anemone,gecko
mountain,mountain
cucumber,eggplants
leaf,flower
lakeside,trees
camel,camel
lizard,gecko
flies,insects
disc,balls
lakeside,water
shore,trees
kitchen,kitchen
deer,ram
gate,house
seashore,beach
butterfly,butterfly
monk,man
tree,trees
horse,horses
people,people
deer,stags
mountain,cliff
deer,deer
frog,frog
door,door
door,door
meerkat,animal
woman,people
chameleon,gecko
buck,ram
clouds,clouds
wolf,wolf
jaguar,leopard
jesus,statue
pathway,buildings
mountain,leaf
potato,rocks
cow,deer
raindeer,ram
monument,building
tiger,tiger
deer,deer
woman,woman
penguin,bird
dog,dog
husky,dog
man,man
woman,woman
animal,ram
snake,snake
apple,apples
orchestra,man
elephant,elephant
man,person
gate,pillars
bush,trees
waterside,trees
tiger,tiger
painting,painting
greece,pillars
rooftop,house
rock,trees
pilot,men
eggs,rocks
swtich,button
tree,tree
monkey,monkey
boat,boat
sun,moon
bush,trees
Mouflon,ram
zebra,zebra
vegetables,food
sportsman,man
monkey,monkey
mountain,tree
man,man
skunk,monkey
peacock,ducks
aligator,snake
trees,trees
skier,man
room,room
man,people
bird,bird
creek,texture
boys,children
people,people
men,people
women,people
kitchen,kitchen
monkey,monkey
market,food
bear,monkey
stream,river
painting,painting
church,building
dog,horse
ceiling,crystal
river,water
cougar,lion
city,buildings
horse,horses
pyramid,pyramids
boy,child
monkey,monkey
cannon,cannon
factory,people
water,texture
wood,statue
chimpanzee,monkey
man,man
bush,trees
tent,tent
coaster,rollercoaster
valley,ocean
zebra,zebra
lizard,gecko
mountainside,trees
dining,kitchen
bird,bird
piranha,fish
old man,man
rooster,chicken
balcony,food
girl,woman
apples,food
pillars,pillars
palace,building
lakeside,tunnel
hedgehog,dog
swan,ducks
monkey,monkey
mouflam,ram
clouds,clouds
orangutan,monkey
bird,ducks
woman,woman
crowd,people
fort,building
forest,trees
hippopotamus,hippo
leaf,food
carpenter,man
women,people
water,water
carts,horses
statues,statues
children,children
swimmer,man
surfer,surfer
baloons,balloons
pillars,pillars
giraffe,giraffe
women,women
chimpanzee,monkey
lizard,gecko
fence,building
apples,apples
tower,buildings
mountainside,mountains
flower,food
woman,woman
leaf,leaf
monument,building
lakeside,mountain
man,man
deer,deer
ice,ice
dunes,texture
plant,plant
venice,building
statue,statue
valley,water
bridge,building
old lady,woman
sea,water
farm,plants
raft,people
bison,bison
people,people
car,car
cycles,bikers
pines,trees
land,rocks
raindeer,rams
ostrich,ostrich
valley,trees
climber,woman
snake,snake
bridge,bridge
bird,ducks
water,water
landside,liquid
mountain,mountain
leaf,water
water,water
lizard,gecko
pot,room
rocks,rocks
swan,duck
fort,building
carpenter,man
lake,water
painting,people
yacht,boat
balcony,stairs
women,women
engraving,people
mountain,mountain
lizard,gecko
water,water
bush,plants
cheetah,cheetah
forest,trees
bird,bird
sunset,water
old lady,man
lotus,flower
river,water
room,room
baby,child
monument,building
apples,fruit
strawberries,strawberries
carriage,trees
men,women
army,men
cave,tunnel
waves,lights
musician,men
woman,woman
snake,snake
valley,mountains
popcorn,popcorn
television,television
beans,beans
creek,stream
bat,animal
walkway,walkway
farm,houses
truck,truck
puppied,dogs
dolphin,dolphins
river,trees
water,water
orb,fruits
mountain,man
potato,potato
man,people
snake,snake
fish,fish
chameleon,gecko
mosque,building
building,building
helicopter,airplane
